688468,23.42,医药生物
688488,51.17,医药生物
688505,51.3,医药生物
688513,75.86,医药生物
688520,155.82,医药生物
688553,54.19,医药生物
688566,49.83,医药生物
688575,50.11,医药生物
688576,12.84,医药生物
688580,53.79,医药生物
688581,21.7,医药生物
688606,32.86,医药生物
688607,38.4,医药生物
688613,20.18,医药生物
688617,266.54,医药生物
688621,59.72,医药生物
688626,72.1,医药生物
688656,59.11,医药生物
688658,59.09,医药生物
688670,17.09,医药生物
688677,136.52,医药生物
688687,26.99,医药生物
688690,183.37,医药生物
688710,59.22,医药生物
688712,14.03,医药生物
688739,81.87,医药生物
688758,58.44,医药生物
688759,16.87,医药生物
688765,20.91,医药生物
688767,50.92,医药生物
688796,36.67,医药生物
688799,60.82,医药生物
688805,14.77,医药生物
920009,3.86,医药生物
920017,20.08,医药生物
920047,36.38,医药生物
920050,4.85,医药生物
920069,5.17,医药生物
920166,5.14,医药生物
920180,4.62,医药生物
920230,4.73,医药生物
920266,7.75,医药生物
920278,4.38,医药生物
920300,6.79,医药生物
920344,20.62,医药生物
920367,7.6,医药生物
920433,7.52,医药生物
920478,5.77,医药生物
920504,2.89,医药生物
920547,7.36,医药生物
920566,10.7,医药生物
920575,7.14,医药生物
920656,4.4,医药生物
920670,9.26,医药生物
920735,27.33,医药生物
920925,6.22,医药生物
920946,41.1,医药生物
920992,5.97,医药生物
000007,45.14,商贸零售
000056,17.8,商贸零售
000058,61.55,商贸零售
000061,98.15,商贸零售
000151,35.1,商贸零售
000417,62.01,商贸零售
000419,25.0,商贸零售
000501,51.62,商贸零售
000564,209.82,商贸零售
000626,33.5,商贸零售
000679,23.42,商贸零售
000701,31.18,商贸零售
000715,23.64,商贸零售
000759,40.72,商贸零售
000785,121.89,商贸零售
000829,78.86,商贸零售
000882,37.75,商贸零售
002024,107.34,商贸零售
002072,30.03,商贸零售
002091,116.99,商贸零售
002127,52.26,商贸零售
002177,40.43,商贸零售
002183,143.35,商贸零售
