字段代码,字段(大写),中文名,参数
b_anal_yield_shc,B_ANAL_YIELD_SHC,估价收益率(上海清算所),DEALDATE
b_anal_ytm_ifexe,B_ANAL_YTM_IFEXE,行权收益率,TRADEDATE
b_assetmanagementshold_products,B_ASSETMANAGEMENTSHOLD_PRODUCTS,持有券商资管家数,REPORTDATE
b_calc_accrint,B_CALC_ACCRINT,指定日应计利息,DEALDATE
b_calc_accrued,B_CALC_ACCRUED,应计利息,DEALDATE1、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_adjyield,B_CALC_ADJYIELD,价格算票面调整收益率,TRADEDATE、ExtraCoupon、BondPrice、PriceType
b_calc_askprice,B_CALC_ASKPRICE,计算卖出价格,DEALDATE1、INNETPRICE、DEALDATE2、ROE、DEALDATE3、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_chinabond,B_CALC_CHINABOND,收益率曲线(中债)3.0,TRADEDATE、Term
b_calc_clean,B_CALC_CLEAN,全价算净价,DEALDATE1、PRICE、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_conv,B_CALC_CONV,凸性,DEALDATE1、YTM、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_curve,B_CALC_CURVE,收益率曲线,CURVECODE、DEALDATE、DEADLINE
b_calc_curve_chinabond,B_CALC_CURVE_CHINABOND,收益率曲线(中债),CURVECODE、DEALDATE、DEADLINE
b_calc_curve_csi,B_CALC_CURVE_CSI,收益率曲线(中证),CURVECODE、DEALDATE、DEADLINE
b_calc_curve_shc,B_CALC_CURVE_SHC,收益率曲线(上清所),CURVECODE、DEALDATE、DEADLINE
b_calc_dirty,B_CALC_DIRTY,净价算全价,DEALDATE1、PRICE、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_duration,B_CALC_DURATION,麦考利久期,DEALDATE1、YTM、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_floataddbp,B_CALC_FLOATADDBP,计算浮息债隐含加息基点,DEALDATE、PRICE、INTEREST
b_calc_floatbench,B_CALC_FLOATBENCH,计算浮息债隐含基准利率,DEALDATE、PRICE、INTEREST
b_calc_floatpv,B_CALC_FLOATPV,计算浮息债全价,TRADEDATE、Rate、Implied
