字段代码,字段(大写),中文名,参数
s_stmnote_bank_0053,S_STMNOTE_BANK_0053,逾期质押贷款_1年以上3年以内,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_0054,S_STMNOTE_BANK_0054,逾期质押贷款_3年以上,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_0055,S_STMNOTE_BANK_0055,逾期质押贷款合计,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_1,S_STMNOTE_BANK_1,贷款总额,REPORTDATE
s_stmnote_bank_10,S_STMNOTE_BANK_10,短期资产流动性比例(外币),REPORTDATE
s_stmnote_bank_10n,S_STMNOTE_BANK_10N,短期资产流动性比率(外币),REPORTDATE、TYPE
s_stmnote_bank_11,S_STMNOTE_BANK_11,拆入资金比例,REPORTDATE
s_stmnote_bank_11n,S_STMNOTE_BANK_11N,拆入资金比率,REPORTDATE、TYPE
s_stmnote_bank_12,S_STMNOTE_BANK_12,拆出资金比例,REPORTDATE
s_stmnote_bank_129,S_STMNOTE_BANK_129,成本收入比(%),REPORTDATE
s_stmnote_bank_129n,S_STMNOTE_BANK_129N,成本收入比,REPORTDATE、TYPE
s_stmnote_bank_12n,S_STMNOTE_BANK_12N,拆出资金比率,REPORTDATE、TYPE
s_stmnote_bank_13,S_STMNOTE_BANK_13,中长期贷款比例(人民币),REPORTDATE
s_stmnote_bank_131,S_STMNOTE_BANK_131,资本净额,REPORTDATE
s_stmnote_bank_131n,S_STMNOTE_BANK_131N,资本净额,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_132,S_STMNOTE_BANK_132,核心资本净额,REPORTDATE
s_stmnote_bank_132n,S_STMNOTE_BANK_132N,核心资本净额,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_133,S_STMNOTE_BANK_133,加权风险资产净额,REPORTDATE
s_stmnote_bank_133n,S_STMNOTE_BANK_133N,加权风险资产净额,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_13n,S_STMNOTE_BANK_13N,中长期贷款比率(人民币),REPORTDATE、TYPE
s_stmnote_bank_14,S_STMNOTE_BANK_14,中长期贷款比例(外币),REPORTDATE
s_stmnote_bank_144,S_STMNOTE_BANK_144,净息差(%),REPORTDATE
s_stmnote_bank_144n,S_STMNOTE_BANK_144N,净息差,REPORTDATE、TYPE
s_stmnote_bank_147,S_STMNOTE_BANK_147,净利差(%),REPORTDATE
s_stmnote_bank_147n,S_STMNOTE_BANK_147N,净利差,REPORTDATE、TYPE
s_stmnote_bank_147r,S_STMNOTE_BANK_147R,净利差(公布值),REPORTDATE、TYPE
s_stmnote_bank_14n,S_STMNOTE_BANK_14N,中长期贷款比率(外币),REPORTDATE、TYPE
s_stmnote_bank_15,S_STMNOTE_BANK_15,国际商业借款比例,REPORTDATE
s_stmnote_bank_15n,S_STMNOTE_BANK_15N,国际商业借款比率,REPORTDATE、TYPE
s_stmnote_bank_16,S_STMNOTE_BANK_16,利息回收率,REPORTDATE
s_stmnote_bank_16n,S_STMNOTE_BANK_16N,利息回收率,REPORTDATE、TYPE
s_stmnote_bank_17,S_STMNOTE_BANK_17,单一最大客户贷款比例,REPORTDATE
s_stmnote_bank_171,S_STMNOTE_BANK_171,杠杆率,REPORTDATE、TYPE
s_stmnote_bank_172,S_STMNOTE_BANK_172,流动性覆盖率,REPORTDATE、TYPE
s_stmnote_bank_1778,S_STMNOTE_BANK_1778,银行理财产品余额,REPORTDATE、UnitVal
s_stmnote_bank_17n,S_STMNOTE_BANK_17N,单一最大客户贷款比例,REPORTDATE、TYPE
s_stmnote_bank_18,S_STMNOTE_BANK_18,最大十家客户贷款比例,REPORTDATE
s_stmnote_bank_18n,S_STMNOTE_BANK_18N,最大十家客户贷款比例,REPORTDATE、TYPE
s_stmnote_bank_19,S_STMNOTE_BANK_19,备付金比例(人民币),REPORTDATE
s_stmnote_bank_19n,S_STMNOTE_BANK_19N,备付金比率(人民币),REPORTDATE、TYPE
s_stmnote_bank_1n,S_STMNOTE_BANK_1N,贷款总额,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_2,S_STMNOTE_BANK_2,存款总额,REPORTDATE
s_stmnote_bank_20,S_STMNOTE_BANK_20,备付金比例(外币),REPORTDATE
s_stmnote_bank_20n,S_STMNOTE_BANK_20N,备付金比率(外币),REPORTDATE、TYPE
s_stmnote_bank_21,S_STMNOTE_BANK_21,境外资金运用比例,REPORTDATE
s_stmnote_bank_21n,S_STMNOTE_BANK_21N,境外资金运用比率,REPORTDATE、TYPE
s_stmnote_bank_22,S_STMNOTE_BANK_22,贷款呆帐准备金,REPORTDATE
s_stmnote_bank_22n,S_STMNOTE_BANK_22N,贷款减值准备,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_23,S_STMNOTE_BANK_23,不良贷款拨备覆盖率,REPORTDATE
s_stmnote_bank_23n,S_STMNOTE_BANK_23N,不良贷款拨备覆盖率,REPORTDATE、TYPE
s_stmnote_bank_24n,S_STMNOTE_BANK_24N,单一最大客户贷款占贷款总额比例,REPORTDATE
s_stmnote_bank_25n,S_STMNOTE_BANK_25N,最大十家客户贷款占贷款总额比例,REPORTDATE
s_stmnote_bank_26,S_STMNOTE_BANK_26,不良贷款余额,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_2n,S_STMNOTE_BANK_2N,存款总额,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_3,S_STMNOTE_BANK_3,资本充足率,REPORTDATE
s_stmnote_bank_30,S_STMNOTE_BANK_30,非利息收入占比,REPORTDATE、TYPE
s_stmnote_bank_31,S_STMNOTE_BANK_31,正常-金额,REPORTDATE
s_stmnote_bank_34,S_STMNOTE_BANK_34,市场风险资本,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_35,S_STMNOTE_BANK_35,生息资产,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_37,S_STMNOTE_BANK_37,次级-金额,REPORTDATE
s_stmnote_bank_38,S_STMNOTE_BANK_38,计息负债,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_3n,S_STMNOTE_BANK_3N,资本充足率,REPORTDATE、TYPE
s_stmnote_bank_4,S_STMNOTE_BANK_4,核心资本充足率,REPORTDATE
s_stmnote_bank_40,S_STMNOTE_BANK_40,可疑-金额,REPORTDATE
s_stmnote_bank_41,S_STMNOTE_BANK_41,非利息收入,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_42,S_STMNOTE_BANK_42,非生息资产,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_43,S_STMNOTE_BANK_43,非计息负债,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_46,S_STMNOTE_BANK_46,短期贷款-平均余额,REPORTDATE、UnitVal
s_stmnote_bank_47,S_STMNOTE_BANK_47,短期贷款-年平均利率,REPORTDATE
s_stmnote_bank_48,S_STMNOTE_BANK_48,中长期贷款-平均余额,REPORTDATE、UnitVal
s_stmnote_bank_49,S_STMNOTE_BANK_49,中长期贷款-年平均利率,REPORTDATE
s_stmnote_bank_4n,S_STMNOTE_BANK_4N,核心资本充足率,REPORTDATE、TYPE
s_stmnote_bank_5,S_STMNOTE_BANK_5,不良贷款比例,REPORTDATE
s_stmnote_bank_50,S_STMNOTE_BANK_50,企业存款-平均余额,REPORTDATE、UnitVal
s_stmnote_bank_51,S_STMNOTE_BANK_51,企业存款-年平均利率,REPORTDATE
s_stmnote_bank_52,S_STMNOTE_BANK_52,储蓄存款-平均余额,REPORTDATE、UnitVal
s_stmnote_bank_53,S_STMNOTE_BANK_53,储蓄存款-年平均利率,REPORTDATE
s_stmnote_bank_5444,S_STMNOTE_BANK_5444,净息差(公布值),REPORTDATE、TYPE
s_stmnote_bank_5453,S_STMNOTE_BANK_5453,库存现金,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_55,S_STMNOTE_BANK_55,拨贷比,REPORTDATE、TYPE
s_stmnote_bank_57,S_STMNOTE_BANK_57,生息资产平均余额,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_58,S_STMNOTE_BANK_58,生息资产收益率,REPORTDATE、TYPE
s_stmnote_bank_59,S_STMNOTE_BANK_59,计息负债平均余额,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_5n,S_STMNOTE_BANK_5N,不良贷款比率,REPORTDATE、TYPE
s_stmnote_bank_6,S_STMNOTE_BANK_6,存贷款比例,REPORTDATE
s_stmnote_bank_60,S_STMNOTE_BANK_60,计息负债成本率,REPORTDATE、TYPE
s_stmnote_bank_611,S_STMNOTE_BANK_611,存款余额_个人定期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_612,S_STMNOTE_BANK_612,存款余额_个人活期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_613,S_STMNOTE_BANK_613,存款余额_公司定期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_614,S_STMNOTE_BANK_614,存款余额_公司活期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_615,S_STMNOTE_BANK_615,存款余额_其它存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_616,S_STMNOTE_BANK_616,存款余额_个人存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_617,S_STMNOTE_BANK_617,存款余额_公司存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_618,S_STMNOTE_BANK_618,存款余额_保证金存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_621,S_STMNOTE_BANK_621,存款平均余额_个人定期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_622,S_STMNOTE_BANK_622,存款平均余额_个人活期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_623,S_STMNOTE_BANK_623,存款平均余额_公司定期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_624,S_STMNOTE_BANK_624,存款平均余额_公司活期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_625,S_STMNOTE_BANK_625,存款平均余额_其它存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_631,S_STMNOTE_BANK_631,存款利息支出_个人定期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_632,S_STMNOTE_BANK_632,存款利息支出_个人活期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_633,S_STMNOTE_BANK_633,存款利息支出_公司定期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_634,S_STMNOTE_BANK_634,存款利息支出_公司活期存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_635,S_STMNOTE_BANK_635,存款利息支出_其它存款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_641,S_STMNOTE_BANK_641,存款平均成本率_个人定期存款,REPORTDATE、TYPE、DataType
s_stmnote_bank_642,S_STMNOTE_BANK_642,存款平均成本率_个人活期存款,REPORTDATE、TYPE、DataType
s_stmnote_bank_643,S_STMNOTE_BANK_643,存款平均成本率_公司定期存款,REPORTDATE、TYPE、DataType
s_stmnote_bank_644,S_STMNOTE_BANK_644,存款平均成本率_公司活期存款,REPORTDATE、TYPE、DataType
s_stmnote_bank_645,S_STMNOTE_BANK_645,存款平均成本率_其它存款,REPORTDATE、TYPE、DataType
s_stmnote_bank_646,S_STMNOTE_BANK_646,存款平均成本率_存款总额,REPORTDATE、TYPE、DataType
s_stmnote_bank_647,S_STMNOTE_BANK_647,存款余额_存款总额,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_648,S_STMNOTE_BANK_648,存款平均余额_存款总额,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_649,S_STMNOTE_BANK_649,存款利息支出_存款总额,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_65,S_STMNOTE_BANK_65,贷款余额(按行业),REPORTDATE、TYPE、DataType、IndustryName、UnitVal
s_stmnote_bank_66,S_STMNOTE_BANK_66,不良贷款余额(按行业),REPORTDATE、TYPE、DataType、IndustryName、UnitVal
s_stmnote_bank_67,S_STMNOTE_BANK_67,不良贷款率(按行业),REPORTDATE、TYPE、DataType、IndustryName
s_stmnote_bank_680,S_STMNOTE_BANK_680,贷款余额_总计,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_681,S_STMNOTE_BANK_681,贷款余额_企业贷款及垫款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_682,S_STMNOTE_BANK_682,贷款余额_个人贷款及垫款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_683,S_STMNOTE_BANK_683,贷款余额_票据贴现,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_684,S_STMNOTE_BANK_684,贷款余额_个人住房贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_685,S_STMNOTE_BANK_685,贷款余额_个人消费贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_686,S_STMNOTE_BANK_686,贷款余额_信用卡应收账款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_687,S_STMNOTE_BANK_687,贷款余额_经营性贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_688,S_STMNOTE_BANK_688,贷款余额_汽车贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_689,S_STMNOTE_BANK_689,贷款余额_其他个人贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_690,S_STMNOTE_BANK_690,不良贷款余额_总计,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_691,S_STMNOTE_BANK_691,不良贷款余额_企业贷款及垫款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_692,S_STMNOTE_BANK_692,不良贷款余额_个人贷款及垫款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_693,S_STMNOTE_BANK_693,不良贷款余额_票据贴现,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_694,S_STMNOTE_BANK_694,不良贷款余额_个人住房贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_695,S_STMNOTE_BANK_695,不良贷款余额_个人消费贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_696,S_STMNOTE_BANK_696,不良贷款余额_信用卡应收账款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_697,S_STMNOTE_BANK_697,不良贷款余额_经营性贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_698,S_STMNOTE_BANK_698,不良贷款余额_汽车贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_699,S_STMNOTE_BANK_699,不良贷款余额_其他个人贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_6n,S_STMNOTE_BANK_6N,存贷款比率,REPORTDATE、TYPE
s_stmnote_bank_7,S_STMNOTE_BANK_7,存贷款比例(人民币),REPORTDATE
s_stmnote_bank_700,S_STMNOTE_BANK_700,贷款平均余额_总计,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_701,S_STMNOTE_BANK_701,不良贷款率_企业贷款及垫款,REPORTDATE、TYPE、DataType
s_stmnote_bank_702,S_STMNOTE_BANK_702,不良贷款率_个人贷款及垫款,REPORTDATE、TYPE、DataType
s_stmnote_bank_703,S_STMNOTE_BANK_703,不良贷款率_票据贴现,REPORTDATE、TYPE、DataType
s_stmnote_bank_704,S_STMNOTE_BANK_704,不良贷款率_个人住房贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_705,S_STMNOTE_BANK_705,不良贷款率_个人消费贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_706,S_STMNOTE_BANK_706,不良贷款率_信用卡应收账款,REPORTDATE、TYPE、DataType
s_stmnote_bank_707,S_STMNOTE_BANK_707,不良贷款率_经营性贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_708,S_STMNOTE_BANK_708,不良贷款率_汽车贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_709,S_STMNOTE_BANK_709,不良贷款率_其他个人贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_710,S_STMNOTE_BANK_710,贷款利息收入_总计,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_711,S_STMNOTE_BANK_711,贷款平均余额_企业贷款及垫款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_712,S_STMNOTE_BANK_712,贷款平均余额_个人贷款及垫款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_713,S_STMNOTE_BANK_713,贷款平均余额_票据贴现,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_714,S_STMNOTE_BANK_714,贷款平均余额_个人住房贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_715,S_STMNOTE_BANK_715,贷款平均余额_个人消费贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_716,S_STMNOTE_BANK_716,贷款平均余额_信用卡应收账款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_717,S_STMNOTE_BANK_717,贷款平均余额_经营性贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_718,S_STMNOTE_BANK_718,贷款平均余额_汽车贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_719,S_STMNOTE_BANK_719,贷款平均余额_其他个人贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_720,S_STMNOTE_BANK_720,贷款平均收益率_总计,REPORTDATE、TYPE、DataType
s_stmnote_bank_721,S_STMNOTE_BANK_721,贷款利息收入_企业贷款及垫款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_722,S_STMNOTE_BANK_722,贷款利息收入_个人贷款及垫款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_723,S_STMNOTE_BANK_723,贷款利息收入_票据贴现,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_724,S_STMNOTE_BANK_724,贷款利息收入_个人住房贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_725,S_STMNOTE_BANK_725,贷款利息收入_个人消费贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_726,S_STMNOTE_BANK_726,贷款利息收入_信用卡应收账款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_727,S_STMNOTE_BANK_727,贷款利息收入_经营性贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_728,S_STMNOTE_BANK_728,贷款利息收入_汽车贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_729,S_STMNOTE_BANK_729,贷款利息收入_其他个人贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_730,S_STMNOTE_BANK_730,不良贷款率_总计,REPORTDATE、TYPE、DataType
s_stmnote_bank_731,S_STMNOTE_BANK_731,贷款平均收益率_企业贷款及垫款,REPORTDATE、TYPE、DataType
s_stmnote_bank_732,S_STMNOTE_BANK_732,贷款平均收益率_个人贷款及垫款,REPORTDATE、TYPE、DataType
s_stmnote_bank_733,S_STMNOTE_BANK_733,贷款平均收益率_票据贴现,REPORTDATE、TYPE、DataType
s_stmnote_bank_734,S_STMNOTE_BANK_734,贷款平均收益率_个人住房贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_735,S_STMNOTE_BANK_735,贷款平均收益率_个人消费贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_736,S_STMNOTE_BANK_736,贷款平均收益率_信用卡应收账款,REPORTDATE、TYPE、DataType
s_stmnote_bank_737,S_STMNOTE_BANK_737,贷款平均收益率_经营性贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_738,S_STMNOTE_BANK_738,贷款平均收益率_汽车贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_739,S_STMNOTE_BANK_739,贷款平均收益率_其他个人贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_741,S_STMNOTE_BANK_741,贷款余额_信用贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_742,S_STMNOTE_BANK_742,贷款余额_保证贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_743,S_STMNOTE_BANK_743,贷款余额_抵押贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_744,S_STMNOTE_BANK_744,贷款余额_质押贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_751,S_STMNOTE_BANK_751,不良贷款余额_信用贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_752,S_STMNOTE_BANK_752,不良贷款余额_保证贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_753,S_STMNOTE_BANK_753,不良贷款余额_抵押贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_754,S_STMNOTE_BANK_754,不良贷款余额_质押贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_761,S_STMNOTE_BANK_761,不良贷款率_信用贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_762,S_STMNOTE_BANK_762,不良贷款率_保证贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_763,S_STMNOTE_BANK_763,不良贷款率_抵押贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_764,S_STMNOTE_BANK_764,不良贷款率_质押贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_771,S_STMNOTE_BANK_771,贷款平均余额_信用贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_772,S_STMNOTE_BANK_772,贷款平均余额_保证贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_773,S_STMNOTE_BANK_773,贷款平均余额_抵押贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_774,S_STMNOTE_BANK_774,贷款平均余额_质押贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_781,S_STMNOTE_BANK_781,贷款利息收入_信用贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_781210,S_STMNOTE_BANK_781210,银行信息科技投入,REPORTDATE、UnitVal
s_stmnote_bank_782,S_STMNOTE_BANK_782,贷款利息收入_保证贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_783,S_STMNOTE_BANK_783,贷款利息收入_抵押贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_784,S_STMNOTE_BANK_784,贷款利息收入_质押贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_791,S_STMNOTE_BANK_791,贷款平均收益率_信用贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_792,S_STMNOTE_BANK_792,贷款平均收益率_保证贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_793,S_STMNOTE_BANK_793,贷款平均收益率_抵押贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_794,S_STMNOTE_BANK_794,贷款平均收益率_质押贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_7n,S_STMNOTE_BANK_7N,存贷款比率(人民币),REPORTDATE、TYPE
s_stmnote_bank_8,S_STMNOTE_BANK_8,存贷款比例(外币),REPORTDATE
s_stmnote_bank_801,S_STMNOTE_BANK_801,贷款余额_短期贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_802,S_STMNOTE_BANK_802,贷款余额_中长期贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_811,S_STMNOTE_BANK_811,不良贷款余额_短期贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_812,S_STMNOTE_BANK_812,不良贷款余额_中长期贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_821,S_STMNOTE_BANK_821,不良贷款率_短期贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_822,S_STMNOTE_BANK_822,不良贷款率_中长期贷款,REPORTDATE、TYPE、DataType
s_stmnote_bank_841,S_STMNOTE_BANK_841,贷款利息收入_短期贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_842,S_STMNOTE_BANK_842,贷款利息收入_中长期贷款,REPORTDATE、TYPE、DataType、UnitVal
s_stmnote_bank_8n,S_STMNOTE_BANK_8N,存贷款比率(外币),REPORTDATE、TYPE
s_stmnote_bank_9,S_STMNOTE_BANK_9,短期资产流动性比例(人民币),REPORTDATE
s_stmnote_bank_9501,S_STMNOTE_BANK_9501,正常-迁徙率,REPORTDATE
s_stmnote_bank_9502,S_STMNOTE_BANK_9502,关注-迁徙率,REPORTDATE
s_stmnote_bank_9503,S_STMNOTE_BANK_9503,次级-迁徙率,REPORTDATE
s_stmnote_bank_9504,S_STMNOTE_BANK_9504,可疑-迁徙率,REPORTDATE
s_stmnote_bank_9506,S_STMNOTE_BANK_9506,正常-占贷款总额比,REPORTDATE
s_stmnote_bank_9507,S_STMNOTE_BANK_9507,关注-占贷款总额比,REPORTDATE
s_stmnote_bank_9508,S_STMNOTE_BANK_9508,次级-占贷款总额比,REPORTDATE
s_stmnote_bank_9509,S_STMNOTE_BANK_9509,可疑-占贷款总额比,REPORTDATE
s_stmnote_bank_9510,S_STMNOTE_BANK_9510,损失-占贷款总额比,REPORTDATE
s_stmnote_bank_9n,S_STMNOTE_BANK_9N,短期资产流动性比率(人民币),REPORTDATE、TYPE
s_stmnote_bank_ar,S_STMNOTE_BANK_AR,贷款损失准备充足率,REPORTDATE、TYPE
s_stmnote_bank_asf,S_STMNOTE_BANK_ASF,可用的稳定资金,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_assetliqratio,S_STMNOTE_BANK_ASSETLIQRATIO,短期资产流动性比率(本外币),REPORTDATE、TYPE
s_stmnote_bank_capadequacyratio,S_STMNOTE_BANK_CAPADEQUACYRATIO,资本充足率(2013),REPORTDATE、TYPE
s_stmnote_bank_capadequacyratio_ct1,S_STMNOTE_BANK_CAPADEQUACYRATIO_CT1,核心一级资本充足率(2013),REPORTDATE、TYPE
s_stmnote_bank_capadequacyratio_t1,S_STMNOTE_BANK_CAPADEQUACYRATIO_T1,一级资本充足率(2013),REPORTDATE、TYPE
s_stmnote_bank_coretier1cap,S_STMNOTE_BANK_CORETIER1CAP,核心一级资本净额(2013),REPORTDATE、TYPE、UnitVal
s_stmnote_bank_impair,S_STMNOTE_BANK_IMPAIR,计提减值准备,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_netequitycap,S_STMNOTE_BANK_NETEQUITYCAP,资本净额(2013),REPORTDATE、TYPE、UnitVal
s_stmnote_bank_rsf,S_STMNOTE_BANK_RSF,所需的稳定资金,REPORTDATE、TYPE、UnitVal
s_stmnote_bank_rweightedassets,S_STMNOTE_BANK_RWEIGHTEDASSETS,加权风险资产净额(2013),REPORTDATE、TYPE、UnitVal
s_stmnote_bank_rweightedassets_cr,S_STMNOTE_BANK_RWEIGHTEDASSETS_CR,信用风险加权资产(2013),REPORTDATE、TYPE、UnitVal
s_stmnote_bank_rweightedassets_mr,S_STMNOTE_BANK_RWEIGHTEDASSETS_MR,市场风险加权资产(2013),REPORTDATE、TYPE、UnitVal
s_stmnote_bank_rweightedassets_or,S_STMNOTE_BANK_RWEIGHTEDASSETS_OR,操作风险加权资产(2013),REPORTDATE、TYPE、UnitVal
s_stmnote_bank_tier1cap,S_STMNOTE_BANK_TIER1CAP,一级资本净额(2013),REPORTDATE、TYPE、UnitVal
s_stmnote_bankdeposit,S_STMNOTE_BANKDEPOSIT,货币资金-银行存款,REPORTDATE、TYPE、UnitVal
s_stmnote_basicpen_add,S_STMNOTE_BASICPEN_ADD,基本养老保险:本期增加,REPORTDATE、TYPE、UnitVal
s_stmnote_basicpen_de,S_STMNOTE_BASICPEN_DE,基本养老保险:本期减少,REPORTDATE、TYPE、UnitVal
s_stmnote_basicpen_eb,S_STMNOTE_BASICPEN_EB,基本养老保险:期末余额,REPORTDATE、TYPE、UnitVal
